split,group,filtered_row,source_row,baseline_similarity,sentence2_token_length,sentence1,sentence2
search,all,2,2,0.4918428659439087,41,There is no rope being climbed by a man,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs."
search,all,4,4,0.49500495195388794,6,"several different ways of computing these values , also known as ( term ) weights , have been developed .",There is no kitten drinking milk
search,all,18,18,0.5047697424888611,14,several different ways have been developed of calculating these values ( also known as term weights ) .,No girl with a bikini is playing in the dunes
search,all,21,21,0.505411684513092,41,No girl with a bikini is playing in the dunes,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs."
search,all,24,24,0.5078750848770142,13,There is no person riding a jetski in the waves,serve as a reason or cause or justification of .
search,all,25,25,0.5079169869422913,8,make fine adjustments or divide into marked intervals for optimal measuring .,There are no people driving ATVs
search,all,27,27,0.5092610120773315,11,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",There is no rope being climbed by a man
search,all,33,33,0.5118588805198669,12,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",There is no person riding a jetski in the waves
search,all,39,39,0.5150848627090454,8,serve as a reason or cause or justification of .,There are no people driving ATVs
search,all,40,40,0.5157009363174438,12,it has the effect of augmenting the potency of the big countries to the detriment of babies .,No motorcycle racer is riding a red and black bike
search,all,50,50,0.5180014371871948,12,A little girl with blond hair is smiling and sitting on a swing,the man is feeding a mouse to the snake .
search,all,51,51,0.5180939435958862,16,"several different ways of computing these values , also known as ( term ) weights , have been developed .",ukraine will not give ' an inch ' over crimea
search,all,57,57,0.518719494342804,10,No motorcycle racer is riding a red and black bike,how the us has changed in my lifetime :
search,all,59,59,0.5188737511634827,8,This answer is based on my experience teaching undergraduate math in the US.,There are no people driving ATVs
search,all,78,78,0.5226408839225769,12,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",No motorcycle racer is riding a red and black bike
search,all,79,79,0.5227493047714233,6,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",There is no kitten drinking milk
search,all,87,87,0.5244805216789246,8,the man is feeding a mouse to the snake .,There are no people driving ATVs
search,all,95,95,0.5286953449249268,9,There is no kitten drinking milk,"commodity expanded value-form , ."
search,all,96,96,0.5292413830757141,25,There is no rope being climbed by a man,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems ."
search,all,97,97,0.5297053456306458,19,"several different ways of computing these values , also known as ( term ) weights , have been developed .",There is no dog jumping at a shiny blue soccer ball in a field of dry leaves
search,all,104,104,0.5333608388900757,7,serve as a reason or cause or justification of .,A boy is eating a cupcake
