sentence_id,text,source_group,source_row_first_seen,source_column,token_length
fae9b90c7d84553481af60fc5c146f9d9a05210a4ea760c368703b1cbf9095a3,Four ladies in swimsuits play sand volleyball on the beach.,fae9b90c7d84553481af60fc5c146f9d9a05210a4ea760c368703b1cbf9095a3,2,sentence2,15
897b513ce74d6b273578b5f60d792b470e602aadceb78f186e8f1c9e19b526e2,A woman is slicing a pumpkin.,897b513ce74d6b273578b5f60d792b470e602aadceb78f186e8f1c9e19b526e2,3,sentence2,11
69547528da09a61b5a8c493aa3d9b8a60867b9c3b9852cdd9ae097d3998abe41,The little girl is riding a bicycle in a race,69547528da09a61b5a8c493aa3d9b8a60867b9c3b9852cdd9ae097d3998abe41,4,sentence2,12
c5705a912b0ef769b7bc29d7d290e091413f9bee0e96172095fdfd18249eeb8e,a woman is swimming .,c5705a912b0ef769b7bc29d7d290e091413f9bee0e96172095fdfd18249eeb8e,5,sentence2,7
9582e1af1450a90cbbde7d70e3894910252158d088da1f8dda60a0b4b5fc16bc,two dogs running in the dirt,9582e1af1450a90cbbde7d70e3894910252158d088da1f8dda60a0b4b5fc16bc,8,sentence2,6
20a0bd7f88b66bb75f8b642e04e9c93ec83988c7c0b36cf7fb42e255ad8f52de,A woman is dancing near a fire.,20a0bd7f88b66bb75f8b642e04e9c93ec83988c7c0b36cf7fb42e255ad8f52de,9,sentence2,9
70b885e7b757ef354cb2c7809c45ee432ed73925bf7ca19e600ade185f92c954,A kid is smiling at the camera and swimming underwater,70b885e7b757ef354cb2c7809c45ee432ed73925bf7ca19e600ade185f92c954,17,sentence2,10
f75f6a074f0a08f3bb6a397ca3210f0b60add41fdad698f0ed89bf0c0f69b5d1,A brown and white dog is running across a brown field.,f75f6a074f0a08f3bb6a397ca3210f0b60add41fdad698f0ed89bf0c0f69b5d1,18,sentence2,13
7300a15da0c7c21a5fd23c73a977be82e409b1127a46f359a7e863d56606e251,how do i pump up water pressure in my shower ?,7300a15da0c7c21a5fd23c73a977be82e409b1127a46f359a7e863d56606e251,20,sentence2,13
d323e4eff68684c2cca4d48b3ac575696e9a84cdb79979411857cc4ab1977c86,Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.,d323e4eff68684c2cca4d48b3ac575696e9a84cdb79979411857cc4ab1977c86,22,sentence2,21
957ce6c8189a4cbaf6b8927a0a160a831733f42bd744317c5d4210ddc6ba9a34,A women painting a chair with a dining room in the background.,957ce6c8189a4cbaf6b8927a0a160a831733f42bd744317c5d4210ddc6ba9a34,24,sentence2,15
bc1b1b4498b6a095f28a52bb12cbd076121dafdae06dd067f4135be1e92979a5,A young woman is playing the guitar,bc1b1b4498b6a095f28a52bb12cbd076121dafdae06dd067f4135be1e92979a5,25,sentence2,7
aa824df1f135d0b0d35863b5d6db712240670814ac8dab0b49c131aca2f6490b,A woman is cleaning a garden.,aa824df1f135d0b0d35863b5d6db712240670814ac8dab0b49c131aca2f6490b,29,sentence2,8
878e56ae73504ba11cc141196b29c4137eaf5035046f7787914169006aabe631,a dog running through a forest in the winter time,878e56ae73504ba11cc141196b29c4137eaf5035046f7787914169006aabe631,33,sentence2,12
7f21a1ac6264cc78dff7064b652401f8d51a08dff91e585992f62649587600b8,A young girl in swimming suite is jumping on the beach,7f21a1ac6264cc78dff7064b652401f8d51a08dff91e585992f62649587600b8,34,sentence2,11
aa2abd44e6a3fb7523909c20428f5c3ae0178c5f8184a315afde251ef22dc5c8,A black dog is hanging out in the grass and running with its tongue out,aa2abd44e6a3fb7523909c20428f5c3ae0178c5f8184a315afde251ef22dc5c8,36,sentence2,15
79ad5533e79a63524a7b01eed1116e725548ef57f8a05a50ee745d35dff732c9,Several boys are jumping on a trampoline,79ad5533e79a63524a7b01eed1116e725548ef57f8a05a50ee745d35dff732c9,40,sentence2,11
6a7c7bc64f1219ee9f7f30bdb8f20efa4c22db7c943d6dd5a1a885f773d6941c,Two dogs are running and trying to catch a ball,6a7c7bc64f1219ee9f7f30bdb8f20efa4c22db7c943d6dd5a1a885f773d6941c,42,sentence2,11
ea66a97e172b33e81159944c535eb50db68874ace147efa5248b9ed1dbd83329,The man is playing a game on a lawn,ea66a97e172b33e81159944c535eb50db68874ace147efa5248b9ed1dbd83329,43,sentence2,11
5b5eb1eace6d99b27e6fee1b16a37b79926cffac54e156ebc10b5dade463f5b9,the two dogs are playing in the yard .,5b5eb1eace6d99b27e6fee1b16a37b79926cffac54e156ebc10b5dade463f5b9,45,sentence2,10
68bfd460742c4905d522d82307e6f8aa25d94fbc85c537177992fffaff532fcd,a young boy jumping into a lake .,68bfd460742c4905d522d82307e6f8aa25d94fbc85c537177992fffaff532fcd,47,sentence2,11
23e6459e3f8854d990fa1f14eeaf86cd7e704cad4b1afe385121ae33f3be282a,A man is stuffing himself full with food.,23e6459e3f8854d990fa1f14eeaf86cd7e704cad4b1afe385121ae33f3be282a,49,sentence2,10
e057eaaa4f7566fe164bf71454dc825e9dfc226c6a3bd401da79f89738e9e38f,two dogs playing with a ball in a puddle .,e057eaaa4f7566fe164bf71454dc825e9dfc226c6a3bd401da79f89738e9e38f,50,sentence2,15
997d33bacf22171abd1ad2e3584a1de6ad61863384ca53af1926474d1ca1d1d9,a woman is playing an acoustic guitar and singing .,997d33bacf22171abd1ad2e3584a1de6ad61863384ca53af1926474d1ca1d1d9,52,sentence2,16
