sentence_id,text,source_group,source_row_first_seen,source_column,token_length,split,semantic_cluster
000cac750a3959bb2e7d51ddd926e716b68caf2e47dfaa2aee1f84a27b40670e,Two men are hugging,000cac750a3959bb2e7d51ddd926e716b68caf2e47dfaa2aee1f84a27b40670e,37007,sentence2,5,search,4
003a8af7558e3c0045c5a40a66e8f3b4bd9473d018e4cb4eb100f637f8c5f11a,at least 18 killed in afghan bomb attacks : officials,003a8af7558e3c0045c5a40a66e8f3b4bd9473d018e4cb4eb100f637f8c5f11a,10182,sentence1,14,search,3
003cefcb21d23a2575f1a270f74ecaf72cc46f8ba9818c0017788a651debd0e4,two dolphins jumping into the water .,003cefcb21d23a2575f1a270f74ecaf72cc46f8ba9818c0017788a651debd0e4,22154,sentence2,9,search,7
005af0fbb3004b2ea32d8aef2118b4aee4e4808de16bb7ea436e0aba7568eced,7 killed in attacks in iraq,005af0fbb3004b2ea32d8aef2118b4aee4e4808de16bb7ea436e0aba7568eced,12590,sentence1,10,search,3
006a7145ba90ea5c2ab0f5c63fd24cb45aab7e7ab261a687f83c1535cd40fce9,"to reach john a. dvorak , who covers kansas , call ( 816 ) 234-7743 or send e-mail to jdvorak @ kctar.com .",006a7145ba90ea5c2ab0f5c63fd24cb45aab7e7ab261a687f83c1535cd40fce9,2334,sentence2,54,search,5
007b53cc3096428c3ff23b2d9d628b9fe9a7d84f49fe94aae552ae0ad4bde176,"in vienna , the iaea said elbaradei would accept the invitation , although no date had yet been set .",007b53cc3096428c3ff23b2d9d628b9fe9a7d84f49fe94aae552ae0ad4bde176,34318,sentence1,36,search,2
00974f4d2d491221ff69cff460e803e1ac79f90c68f1f6ef9553a48f5f8e01b3,tamerlan tsarnaev buried in virginia,00974f4d2d491221ff69cff460e803e1ac79f90c68f1f6ef9553a48f5f8e01b3,20213,sentence1,17,search,3
00cbf493a7a1b554a8cd3c1d967f898f37789ffcc962edcee866906f3a5b7541,a close-up of a brown horse .,00cbf493a7a1b554a8cd3c1d967f898f37789ffcc962edcee866906f3a5b7541,31451,sentence2,12,search,7
00cc0a79d62c1ad369e93ddf607893dc3ef0a1924473a0495cc39cc6791e07e2,A man is slicing a potato into pieces,00cc0a79d62c1ad369e93ddf607893dc3ef0a1924473a0495cc39cc6791e07e2,2597,sentence2,12,search,6
00d9831ce7818ffc7f9d9c0a08e90924f4a4b5be584d3fb54ed3ebcaa8b8dd26,There is no lady holding the paintbrush next to the artist's easel,00d9831ce7818ffc7f9d9c0a08e90924f4a4b5be584d3fb54ed3ebcaa8b8dd26,7756,sentence1,16,search,0
00efd043b343c602818f1cd0c882151ef61491a9b7de4d2d67a062dcf73c1ed5,A boat is sailing quietly over the water,00efd043b343c602818f1cd0c882151ef61491a9b7de4d2d67a062dcf73c1ed5,3158,sentence2,8,search,4
00f41d636ba90a5b86588e5a7461bf5967453a90e912e9c571919f3547ae87c3,A man is performing stunts on a green bicycle,00f41d636ba90a5b86588e5a7461bf5967453a90e912e9c571919f3547ae87c3,9042,sentence1,11,search,6
00f75993411966fd6c2fe296903b004dabfb164166771ce2a3da4ec509c071ce,general nikolai n. urakov stated by telephone that the state scientific center of applied microbiology has quite reliable systems of protection in case of emergency .,00f75993411966fd6c2fe296903b004dabfb164166771ce2a3da4ec509c071ce,6390,sentence1,37,search,2
0119e0b5f5f9913edd76d14bea7b7ecf26f98d8bc6afb4f7907d74d611355928,Black and white photo of couch with purse at one end.,0119e0b5f5f9913edd76d14bea7b7ecf26f98d8bc6afb4f7907d74d611355928,13142,sentence2,12,search,4
0135afac893943196b28a63f9df1c20356d244f323140f68a0d77d371d58939e,effectively wield or manipulate a concrete entity,0135afac893943196b28a63f9df1c20356d244f323140f68a0d77d371d58939e,2506,sentence2,10,search,5
01487157989b423799b7534af75c1c843170090bbe116324f9cd8c1e2933c4a1,A stuntman on a bike is in the air near a body of water,01487157989b423799b7534af75c1c843170090bbe116324f9cd8c1e2933c4a1,4352,sentence2,17,search,6
014929e07ec309893caa662e88b0725346d7a74bd0ef9b420ea77ac27033327a,nobel prize winning author doris lessing dies,014929e07ec309893caa662e88b0725346d7a74bd0ef9b420ea77ac27033327a,27175,sentence1,11,search,3
018e361265814a76d10f65b3181a810f21c8150d03245e13dc113e9f05d1551a,It is the first named storm to develop in the Caribbean in December.,018e361265814a76d10f65b3181a810f21c8150d03245e13dc113e9f05d1551a,1169,sentence2,14,search,2
0198d519d24fed6775edbc5b33af2575f6cfe9dea98ef9cff533dc7553100862,the lie that japan was ready to surrender is revisionist history .,0198d519d24fed6775edbc5b33af2575f6cfe9dea98ef9cff533dc7553100862,14417,sentence1,15,search,2
01b54687dbd5793015f01aaf14bfbdf4735ed78670f96d012390461c36bebcf7,A man is crouching and holding a camera,01b54687dbd5793015f01aaf14bfbdf4735ed78670f96d012390461c36bebcf7,7386,sentence2,12,search,6
01b932b593c55275f7f5f7fd762a7dbc16c89e97c22722c396390002bb8767ef,2 palestinians killed in israeli airstrikes,01b932b593c55275f7f5f7fd762a7dbc16c89e97c22722c396390002bb8767ef,15064,sentence2,14,search,3
01d4d5351336b2f6517a0d0e5a59a7d6e298ebe1a518ba7d6cf9ec7e99af7999,this a picture of the countryside with a large city in the background .,01d4d5351336b2f6517a0d0e5a59a7d6e298ebe1a518ba7d6cf9ec7e99af7999,15434,sentence1,17,search,4
01e220f3192e3116f4a7cb143d4dbbeac2ba993fd14b3731df016084450907b9,china army newspaper slams us 's prism program,01e220f3192e3116f4a7cb143d4dbbeac2ba993fd14b3731df016084450907b9,35142,sentence2,15,search,3
021518b1d2f6c96c6e0d3be968418274ed3aa3856cd2876ed19597a5845bb913,a small camouflaged airplane parked in the grass .,021518b1d2f6c96c6e0d3be968418274ed3aa3856cd2876ed19597a5845bb913,9374,sentence1,16,search,4
021554974083357953f5f1d407f9ce0ff21b1d5f692f2abb4ec4957babcb858c,we should have monuments for him .,021554974083357953f5f1d407f9ce0ff21b1d5f692f2abb4ec4957babcb858c,33142,sentence2,9,search,2
0238da21fca92c7d7a9f41585270d97cec75674cf6fca46918523c76aec09b15,because the path was closed,0238da21fca92c7d7a9f41585270d97cec75674cf6fca46918523c76aec09b15,18454,sentence1,5,search,0
026bfacd48a9936f24f5aaee0162a15b2d5a6f01574a0d6bf6080633c9a66151,A boy is running through the sea at the beach,026bfacd48a9936f24f5aaee0162a15b2d5a6f01574a0d6bf6080633c9a66151,14335,sentence1,10,search,4
026e35d2ca4ab35b928b4de820f213771d377e8f0b2f158e068033c2bcd512cc,"yeah , for toddlers , since the youngest teenagers are already smoking and drinking .",026e35d2ca4ab35b928b4de820f213771d377e8f0b2f158e068033c2bcd512cc,14691,sentence1,20,search,4
0281f1c3f5c1bc2f449a59f697c4e91db7fc2c2ebff9d0a06ce224df74ab0397,a group of people standing outside of a building .,0281f1c3f5c1bc2f449a59f697c4e91db7fc2c2ebff9d0a06ce224df74ab0397,1371,sentence1,13,search,4
028c38a5c86cf2cfa1befb4c47ce4fd7a6df5de0c36b3624093cc0f9a15d0bb8,a couple posing for a picture on a couch .,028c38a5c86cf2cfa1befb4c47ce4fd7a6df5de0c36b3624093cc0f9a15d0bb8,21457,sentence1,16,search,4
02923dc7b7be7e278d18762cd00e4e84b5f8df6b942620e49f7b6db6b491e293,two are trapped as us building collapses,02923dc7b7be7e278d18762cd00e4e84b5f8df6b942620e49f7b6db6b491e293,15110,sentence1,8,search,3
02ac3d4186517d872cac09ed1d724bde9812cd9aaa92057a9bef25efa7695fee,"terminals 4 , 5 and 6 are connected to the positive battery terminal",02ac3d4186517d872cac09ed1d724bde9812cd9aaa92057a9bef25efa7695fee,21177,sentence2,15,search,5
02e6029da6fad0541ef608dcf8be092c543267ef06c6d6a1f14e84d4f280e007,the action of opposing some other social or military force .,02e6029da6fad0541ef608dcf8be092c543267ef06c6d6a1f14e84d4f280e007,11297,sentence1,13,search,2
02e65ad6425f43e78ddde13107051266150c0598a94b44916a40f4a23d8ea281,wtf is that all about ?,02e65ad6425f43e78ddde13107051266150c0598a94b44916a40f4a23d8ea281,3326,sentence1,10,search,5
030b0641429e1ac045274fdea744441e0b99e769db088a32be010bc772f7ce09,russian tv reports foiled attempt on putin,030b0641429e1ac045274fdea744441e0b99e769db088a32be010bc772f7ce09,12321,sentence2,12,search,3
03121692a7dd37c32238ca8d02ab27191092c570434213f3d8dc8bb070424958,There is no woman playing the violin,03121692a7dd37c32238ca8d02ab27191092c570434213f3d8dc8bb070424958,25493,sentence2,7,search,0
0334afa000b946a6a8eca252e65d469b3e4488dfe21bdc1aff7ea3cd372f8879,cite as an authority ; resort to .,0334afa000b946a6a8eca252e65d469b3e4488dfe21bdc1aff7ea3cd372f8879,11597,sentence2,11,search,5
034071978b78cb4dd16e8bef105d8a149f2efc03980a2c0711352656058591bd,A woman is adding spices to some meat,034071978b78cb4dd16e8bef105d8a149f2efc03980a2c0711352656058591bd,691,sentence2,8,search,1
0358ac655ef435873dca112a5778aed94a97b7df4c221fe52815fc848b6acbb8,worthy of being depended on ;,0358ac655ef435873dca112a5778aed94a97b7df4c221fe52815fc848b6acbb8,35680,sentence2,9,search,5
03778070e31e624e8429f255bc00217ba35e53b93eee2eeeafbf93b4b6012d32,senate key to fixing washington,03778070e31e624e8429f255bc00217ba35e53b93eee2eeeafbf93b4b6012d32,3202,sentence2,9,search,2
037903f68eceb8569e0af7c12d8efadf2ebf3bc8ab985ed2a364f1a0a62055e3,( computer science ) a computer that provides client stations with access to files and printers as shared resources to a computer network .,037903f68eceb8569e0af7c12d8efadf2ebf3bc8ab985ed2a364f1a0a62055e3,25027,sentence2,29,search,5
037c470132db4adc536a535b5b3855e6b6c025cdb449804cc80c4b9684f8ece0,There is no one banging a camera lens against a nail,037c470132db4adc536a535b5b3855e6b6c025cdb449804cc80c4b9684f8ece0,31280,sentence2,14,search,0
037e35bf5244ebd4721abfdf8cb27889c7f711de881e7db36b342317030abd43,A woman is cutting potatoes.,037e35bf5244ebd4721abfdf8cb27889c7f711de881e7db36b342317030abd43,7704,sentence1,6,search,1
0389e114953d3ef9b9573bc589a92417ec1498146460752497b6296a10dbca5c,"mobster "" whitey "" bulger 's girlfriend gets 8 years",0389e114953d3ef9b9573bc589a92417ec1498146460752497b6296a10dbca5c,2354,sentence1,16,search,1
039fbb53b3647f153852342513502b27cf4cef111553c5684438cce3152c8207,a lone cow sits in the cold of the yard .,039fbb53b3647f153852342513502b27cf4cef111553c5684438cce3152c8207,4154,sentence1,16,search,7
03ee5898b4ac76db2a5fc16105bb85d6a3b1cafd0bee118e898c5c1286fcab1f,u.s. drone kills 4 militants in pakistan,03ee5898b4ac76db2a5fc16105bb85d6a3b1cafd0bee118e898c5c1286fcab1f,25033,sentence1,16,search,3
03f741f21f38c7da2d157aa0b5d8c72e8c2727e23e464ae068a712eb24fdb5b9,we do not have to go look too far to find examples .,03f741f21f38c7da2d157aa0b5d8c72e8c2727e23e464ae068a712eb24fdb5b9,35551,sentence1,14,search,5
0441d82d9200db1199abd34c48222e5881726b52302388debe733581ef95f422,"no , not mr , i am spanish but i have lived here thinking two years .",0441d82d9200db1199abd34c48222e5881726b52302388debe733581ef95f422,24502,sentence1,25,search,5
04796863fb33cc568b7bfab0ec4b6c7233c52c197506ef7037706a937a0c19f1,Annan to visit Syrian refugees in Turkey Tuesday,04796863fb33cc568b7bfab0ec4b6c7233c52c197506ef7037706a937a0c19f1,13140,sentence1,9,search,2
04845d4a3aa2f5ad97c7daea789f38ca06d53960040235d36a3455f4d8b92dad,cold wave cut murders in new york city significantly,04845d4a3aa2f5ad97c7daea789f38ca06d53960040235d36a3455f4d8b92dad,18486,sentence2,10,search,3
04a4966f6e4993850d93d1bec28186ac44792842cf7bc511d06010f785a42de3,and of course the poppy propaganda .,04a4966f6e4993850d93d1bec28186ac44792842cf7bc511d06010f785a42de3,3353,sentence2,9,search,2
04b55420279504a59ddc79bd23ce6b84c6247108fed0369c05f6d55977d9a584,a woman is using a sewing machine .,04b55420279504a59ddc79bd23ce6b84c6247108fed0369c05f6d55977d9a584,11058,sentence2,11,search,1
05030d1ce00820e7fd76d215cc18782d15147370fe236d18660f1cfb9b310a72,seize and take captive ; take or gain possession of something,05030d1ce00820e7fd76d215cc18782d15147370fe236d18660f1cfb9b310a72,34527,sentence2,13,search,5
05372c1bc935c9f00fa62fe51c8f5c6a562370b847e6daafe77215f79e35fed2,The black dog is climbing on a rock,05372c1bc935c9f00fa62fe51c8f5c6a562370b847e6daafe77215f79e35fed2,5243,sentence2,9,search,7
054117d2329cd844d2e48fa06a6903a78a086e5a7abf5af9f0ad0a156660112b,a close-up of a sheep with its tongue hanging out .,054117d2329cd844d2e48fa06a6903a78a086e5a7abf5af9f0ad0a156660112b,27654,sentence1,16,search,7
0557389b40d9de526f2e6c3c2ab151d6a2fee1adf0ea5266c4532da2177f10d5,A woman is passionately playing a guitar in front of an audience,0557389b40d9de526f2e6c3c2ab151d6a2fee1adf0ea5266c4532da2177f10d5,4062,sentence1,14,search,1
0557ee299f4dd48c80d140d4b42677945bf0605054edec73930ce7d8fee660b6,a woman poses with a baby .,0557ee299f4dd48c80d140d4b42677945bf0605054edec73930ce7d8fee660b6,25590,sentence1,10,search,1
056a815288e4cef579b76aeea279025dd92907abdd2239b919a3a8a65035dbcf,A woman is digging in the sand.,056a815288e4cef579b76aeea279025dd92907abdd2239b919a3a8a65035dbcf,10223,sentence1,10,search,1
059101d170f337501748772e6aa71d3d5a5df69f89326639c8f046f7f1878533,A woman is performing a trick on a ramp with a bicycle,059101d170f337501748772e6aa71d3d5a5df69f89326639c8f046f7f1878533,8570,sentence1,15,search,1
05aaf9dcd63825c3adb718e1e361a31a2d04696d735d45c80c49763484789a4f,"philippines typhoon death toll at 4,460 : un",05aaf9dcd63825c3adb718e1e361a31a2d04696d735d45c80c49763484789a4f,7300,sentence2,19,search,3
05b3dd099e5e46e5ea182de9ffe9ce3d089f798940e76fd1942005e7c723bb4c,A man is not playing a guitar,05b3dd099e5e46e5ea182de9ffe9ce3d089f798940e76fd1942005e7c723bb4c,2500,sentence2,8,search,6
05c5e005090ff4844dba01d59f244d4e1cdd862e397f2b9fb87535358b3cfc29,The person who is playing soccer is kicking the ball between somebody's legs,05c5e005090ff4844dba01d59f244d4e1cdd862e397f2b9fb87535358b3cfc29,2753,sentence2,16,search,4
05d8ead3d0e92cfb32e00b5619aa493132f3611a97a764d86e4c4054a166d868,# myanmar s fight with armed # rebels edges toward china # burma # kachin,05d8ead3d0e92cfb32e00b5619aa493132f3611a97a764d86e4c4054a166d868,26036,sentence2,24,search,2
05ef0b9bf726b2c4dd346e7eb171f7a0e8606e3dce30acb32384237465b274f2,palestinian prisoners arrive at muqata in ramallah,05ef0b9bf726b2c4dd346e7eb171f7a0e8606e3dce30acb32384237465b274f2,30428,sentence1,14,search,2
05fb82b690f5ceceb21ee3e9386bb8098e439ac69053fa7e773bc9b921a53841,intend ( something ) to move towards a certain goal .,05fb82b690f5ceceb21ee3e9386bb8098e439ac69053fa7e773bc9b921a53841,17628,sentence1,14,search,5
065700672655e33939f83564ec05ffbf5665dc781341d7d80e48ca6bb1e563bd,A woman is eating a cake,065700672655e33939f83564ec05ffbf5665dc781341d7d80e48ca6bb1e563bd,2068,sentence2,7,search,1
066442b72f64c654bc240deb4459867a2b38b9470b692350dadebffc57843884,a turtle is swimming in water .,066442b72f64c654bc240deb4459867a2b38b9470b692350dadebffc57843884,16888,sentence2,9,search,7
067a2e8e077817776f6ddaca8af50b32329a72cb622fd404e1864cf12027217b,a reason for wanting something done .,067a2e8e077817776f6ddaca8af50b32329a72cb622fd404e1864cf12027217b,15499,sentence1,9,search,5
068d1a67c34da7dae58d5c30199b76c1e2dcfbbc71f6a0da673863ec74463dc1,iran 's nuclear quest ' has cost tehran over $ 100 billion',068d1a67c34da7dae58d5c30199b76c1e2dcfbbc71f6a0da673863ec74463dc1,1492,sentence2,21,search,2
06b93234cd7318112ba86ebfda11cd6c5d37783fd48258f35f6f3c5b5ac214e7,we have already led the negotiations about that possibility several times with all the czech mobile operators .,06b93234cd7318112ba86ebfda11cd6c5d37783fd48258f35f6f3c5b5ac214e7,15385,sentence2,22,search,2
06d60393d344964239f599968594ee3fec4bb1f069afc0dea87d7b7ae3bab59b,"opinion : tv , the thinking person ? s entertainment of choice",06d60393d344964239f599968594ee3fec4bb1f069afc0dea87d7b7ae3bab59b,8139,sentence2,18,search,5
06d6a10720ed271cbdb7754bc9e7d061bf8f8bbdd25d913b5230cf24fbc3c311,the verbal act of offering .,06d6a10720ed271cbdb7754bc9e7d061bf8f8bbdd25d913b5230cf24fbc3c311,5060,sentence1,8,search,5
06dfed3d2f1b84bcc281add69568a6d78f449972de1828ecb8964fa3a2ea4491,pakistan 's musharraf charged in bhutto death,06dfed3d2f1b84bcc281add69568a6d78f449972de1828ecb8964fa3a2ea4491,2130,sentence1,19,search,3
06e58aa734c9b0b1400afd59c728455d26d9cacfdf2f7b8731d2fd21c688a13a,a man in a dress suit is riding a bike down the paved road .,06e58aa734c9b0b1400afd59c728455d26d9cacfdf2f7b8731d2fd21c688a13a,7013,sentence1,20,search,6
0709b18c21565386f787244087bf1730597d290b1aa06787d0e1e51429468fc0,A young boy is playing in the park with his mother,0709b18c21565386f787244087bf1730597d290b1aa06787d0e1e51429468fc0,28320,sentence2,11,search,4
072d2854180d819b35c681fed9ed1e5ba98237071758a9de1a1c0b3b97ab1560,saferworld team leader on transfer controls and small arms roy isbister stated that -- the eu embargo explicitly states that no military equipment should be supplied either directly or indirectly for use in myanmar .,072d2854180d819b35c681fed9ed1e5ba98237071758a9de1a1c0b3b97ab1560,36307,sentence1,46,search,0
075eebd35d23ab01a313d730f58170c522c37f3cbf66806ff7146ae29f54e419,"the episcopal church , with 2.3 million members , is the american branch of the worldwide anglican communion , which has 77 million adherents .",075eebd35d23ab01a313d730f58170c522c37f3cbf66806ff7146ae29f54e419,5244,sentence2,37,search,2
077b72d82aab23e281c77d1a4672043af9ffc0c59ae7bd169fe1558c49a6df86,inability of the heart to pump blood to sustain life functions,077b72d82aab23e281c77d1a4672043af9ffc0c59ae7bd169fe1558c49a6df86,25219,sentence1,12,search,3
078970a3f521ab66ad026b05f0b5291e9e2a1746a2423a3723511ea18dbb538b,at least 150 dead as strong quake hits southwest balochistan,078970a3f521ab66ad026b05f0b5291e9e2a1746a2423a3723511ea18dbb538b,9504,sentence1,15,search,3
079600706be911ff7eca8c8d4711668305986723db35251270090d617cff75a8,"i 'd like to read this . mt : interview with dl weiss , who put her child on a diet and wrote about it .",079600706be911ff7eca8c8d4711668305986723db35251270090d617cff75a8,15443,sentence2,40,search,5
07bec3fa7b3b51d5b2981b2f8da08a90e2bcbd5f6c93b71829f5c90508d2cd0c,a white and red bus traveling on the street .,07bec3fa7b3b51d5b2981b2f8da08a90e2bcbd5f6c93b71829f5c90508d2cd0c,17441,sentence2,12,search,4
07e45eeb0e80d2e25daa584bb825fd2e4ebc1219b180ecb939cb41e9c7ba51d6,aww ? : britney spears calls off engagement ?,07e45eeb0e80d2e25daa584bb825fd2e4ebc1219b180ecb939cb41e9c7ba51d6,36669,sentence2,19,search,3
07f84ebe7508fa3d1da521eac1fcef26d99db411f2865229d7220f81cc198f15,well they already are taught about homosexuality in schools .,07f84ebe7508fa3d1da521eac1fcef26d99db411f2865229d7220f81cc198f15,14541,sentence1,12,search,2
07fb5b7d7807d5409826a828b4b0c052e79ee718a7d6ff3613535f059e9c4742,a man and a woman resting after exercise .,07fb5b7d7807d5409826a828b4b0c052e79ee718a7d6ff3613535f059e9c4742,6637,sentence1,13,search,4
08064fba8b0b477e833aa1e6ecf61fd4565d59c933d131e3e4c1c27b816ccebc,Four dogs playing in the snow.,08064fba8b0b477e833aa1e6ecf61fd4565d59c933d131e3e4c1c27b816ccebc,6931,sentence2,7,search,7
080a51c208396b050c055512505baf1e08af62f9bbf7fb160e86024c4a293888,"statement by the spokesperson of the eu high representative , catherine ashton , on the resumption of executions in iraq",080a51c208396b050c055512505baf1e08af62f9bbf7fb160e86024c4a293888,32276,sentence1,38,search,2
081054799ff56da07e1fea440ab54c39365f07da00daf128a4260c83bd26522c,"Malala, Snowden, Belarusians Short-Listed For Sakharov Prize",081054799ff56da07e1fea440ab54c39365f07da00daf128a4260c83bd26522c,94,sentence2,17,search,3
